iata,city_name
ABE,"Allentown/Bethlehem/Easton, PA"
ABI,"Abilene, TX"
ABQ,"Albuquerque, NM"
ABR,"Aberdeen, SD"
ACK,"Nantucket, MA"
ACT,"Waco, TX"
ACV,"Arcata/Eureka, CA"
ACY,"Atlantic City, NJ"
ADK,"Adak Island, AK"
ADQ,"Kodiak, AK"
AEX,"Alexandria, LA"
AGS,"Augusta, GA"
AKN,"King Salmon, AK"
ALB,"Albany, NY"
ALO,"Waterloo, IA"
AMA,"Amarillo, TX"
ANC,"Anchorage, AK"
APN,"Alpena, MI"
ASE,"Aspen, CO"
ATL,"Atlanta, GA"
ATW,"Appleton, WI"
ATY,"Watertown, SD"
AUS,"Austin, TX"
AVL,"Asheville, NC"
AVP,"Scranton/Wilkes-Barre, PA"
AZA,"Phoenix, AZ"
AZO,"Kalamazoo, MI"
BDL,"Hartford, CT"
BET,"Bethel, AK"
BFF,"Scottsbluff, NE"
BFL,"Bakersfield, CA"
BGM,"Binghamton, NY"
BGR,"Bangor, ME"
BHM,"Birmingham, AL"
BIH,"Bishop, CA"
BIL,"Billings, MT"
BIS,"Bismarck/Mandan, ND"
BJI,"Bemidji, MN"
BLI,"Bellingham, WA"
BLV,"Belleville, IL"
BMI,"Bloomington/Normal, IL"
BNA,"Nashville, TN"
BOI,"Boise, ID"
BOS,"Boston, MA"
BPT,"Beaumont/Port Arthur, TX"
BQK,"Brunswick, GA"
BQN,"Aguadilla, PR"
BRD,"Brainerd, MN"
BRO,"Brownsville, TX"
BRW,"Barrow, AK"
BTM,"Butte, MT"
BTR,"Baton Rouge, LA"
BTV,"Burlington, VT"
BUF,"Buffalo, NY"
BUR,"Burbank, CA"
BWI,"Baltimore, MD"
BZN,"Bozeman, MT"
CAE,"Columbia, SC"
CAK,"Akron, OH"
CDC,"Cedar City, UT"
CDV,"Cordova, AK"
CHA,"Chattanooga, TN"
CHO,"Charlottesville, VA"
CHS,"Charleston, SC"
CID,"Cedar Rapids/Iowa City, IA"
CIU,"Sault Ste. Marie, MI"
CKB,"Clarksburg/Fairmont, WV"
CLD,"Carlsbad, CA"
CLE,"Cleveland, OH"
CLL,"College Station/Bryan, TX"
CLT,"Charlotte, NC"
CMH,"Columbus, OH"
CMI,"Champaign/Urbana, IL"
CMX,"Hancock/Houghton, MI"
COD,"Cody, WY"
COS,"Colorado Springs, CO"
COU,"Columbia, MO"
CPR,"Casper, WY"
CRP,"Corpus Christi, TX"
CRW,"Charleston/Dunbar, WV"
CVG,"Cincinnati, OH"
CWA,"Mosinee, WI"
CYS,"Cheyenne, WY"
DAB,"Daytona Beach, FL"
DAL,"Dallas, TX"
DAY,"Dayton, OH"
DCA,"Washington, DC"
DDC,"Dodge City, KS"
DEC,"Decatur, IL"
DEN,"Denver, CO"
DFW,"Dallas/Fort Worth, TX"
DHN,"Dothan, AL"
DIK,"Dickinson, ND"
DLH,"Duluth, MN"
DRO,"Durango, CO"
DSM,"Des Moines, IA"
DTW,"Detroit, MI"
DVL,"Devils Lake, ND"
EAR,"Kearney, NE"
EAU,"Eau Claire, WI"
ECP,"Panama City, FL"
EGE,"Eagle, CO"
EKO,"Elko, NV"
ELM,"Elmira/Corning, NY"
ELP,"El Paso, TX"
ESC,"Escanaba, MI"
EUG,"Eugene, OR"
EVV,"Evansville, IN"
EWN,"New Bern/Morehead/Beaufort, NC"
EWR,"Newark, NJ"
EYW,"Key West, FL"
FAI,"Fairbanks, AK"
FAR,"Fargo, ND"
FAT,"Fresno, CA"
FAY,"Fayetteville, NC"
FCA,"Kalispell, MT"
FLG,"Flagstaff, AZ"
FLL,"Fort Lauderdale, FL"
FMN,"Farmington, NM"
FNT,"Flint, MI"
FOD,"Fort Dodge, IA"
FSD,"Sioux Falls, SD"
FSM,"Fort Smith, AR"
FWA,"Fort Wayne, IN"
GCC,"Gillette, WY"
GCK,"Garden City, KS"
GEG,"Spokane, WA"
GFK,"Grand Forks, ND"
GGG,"Longview, TX"
GJT,"Grand Junction, CO"
GNV,"Gainesville, FL"
GPT,"Gulfport/Biloxi, MS"
GRB,"Green Bay, WI"
GRI,"Grand Island, NE"
GRK,"Killeen, TX"
GRR,"Grand Rapids, MI"
GSO,"Greensboro/High Point, NC"
GSP,"Greer, SC"
GTF,"Great Falls, MT"
GTR,"Columbus, MS"
GUC,"Gunnison, CO"
GUF,"Gulf Shores, AL"
GUM,"Guam, TT"
HDN,"Hayden, CO"
HGR,"Hagerstown, MD"
HHH,"Hilton Head, SC"
HIB,"Hibbing, MN"
HLN,"Helena, MT"
HNL,"Honolulu, HI"
HOB,"Hobbs, NM"
HOU,"Houston, TX"
HPN,"White Plains, NY"
HRL,"Harlingen/San Benito, TX"
HSV,"Huntsville, AL"
HTS,"Ashland, WV"
HYS,"Hays, KS"
IAD,"Washington, DC"
IAG,"Niagara Falls, NY"
IAH,"Houston, TX"
ICT,"Wichita, KS"
IDA,"Idaho Falls, ID"
ILM,"Wilmington, NC"
IMT,"Iron Mountain/Kingsfd, MI"
IND,"Indianapolis, IN"
INL,"International Falls, MN"
ISP,"Islip, NY"
ITO,"Hilo, HI"
JAC,"Jackson, WY"
JAN,"Jackson/Vicksburg, MS"
JAX,"Jacksonville, FL"
JFK,"New York, NY"
JLN,"Joplin, MO"
JMS,"Jamestown, ND"
JNU,"Juneau, AK"
JST,"Johnstown, PA"
KOA,"Kona, HI"
KTN,"Ketchikan, AK"
LAF,"Lafayette, IN"
LAN,"Lansing, MI"
LAR,"Laramie, WY"
LAS,"Las Vegas, NV"
LAW,"Lawton/Fort Sill, OK"
LAX,"Los Angeles, CA"
LBB,"Lubbock, TX"
LBE,"Latrobe, PA"
LBF,"North Platte, NE"
LBL,"Liberal, KS"
LCH,"Lake Charles, LA"
LCK,"Columbus, OH"
LEX,"Lexington, KY"
LFT,"Lafayette, LA"
LGA,"New York, NY"
LGB,"Long Beach, CA"
LIH,"Lihue, HI"
LIT,"Little Rock, AR"
LNK,"Lincoln, NE"
LRD,"Laredo, TX"
LSE,"La Crosse, WI"
LWB,"Lewisburg, WV"
LWS,"Lewiston, ID"
LYH,"Lynchburg, VA"
MAF,"Midland/Odessa, TX"
MBS,"Saginaw/Bay City/Midland, MI"
MCI,"Kansas City, MO"
MCO,"Orlando, FL"
MCW,"Mason City, IA"
MDT,"Harrisburg, PA"
MDW,"Chicago, IL"
MEI,"Meridian, MS"
MEM,"Memphis, TN"
MFE,"Mission/McAllen/Edinburg, TX"
MFR,"Medford, OR"
MGM,"Montgomery, AL"
MGW,"Morgantown, WV"
MHK,"Manhattan/Ft. Riley, KS"
MHT,"Manchester, NH"
MIA,"Miami, FL"
MKE,"Milwaukee, WI"
MLB,"Melbourne, FL"
MLI,"Moline, IL"
MLU,"Monroe, LA"
MOB,"Mobile, AL"
MOT,"Minot, ND"
MQT,"Marquette, MI"
MRY,"Monterey, CA"
MSN,"Madison, WI"
MSO,"Missoula, MT"
MSP,"Minneapolis, MN"
MSY,"New Orleans, LA"
MTJ,"Montrose/Delta, CO"
MVY,"Martha's Vineyard, MA"
MYR,"Myrtle Beach, SC"
OAJ,"Jacksonville/Camp Lejeune, NC"
OAK,"Oakland, CA"
OGG,"Kahului, HI"
OKC,"Oklahoma City, OK"
OMA,"Omaha, NE"
OME,"Nome, AK"
ONT,"Ontario, CA"
ORD,"Chicago, IL"
ORF,"Norfolk, VA"
ORH,"Worcester, MA"
OTH,"North Bend/Coos Bay, OR"
OTZ,"Kotzebue, AK"
PAE,"Everett, WA"
PAH,"Paducah, KY"
PBG,"Plattsburgh, NY"
PBI,"West Palm Beach/Palm Beach, FL"
PDX,"Portland, OR"
PGD,"Punta Gorda, FL"
PHL,"Philadelphia, PA"
PHX,"Phoenix, AZ"
PIA,"Peoria, IL"
PIB,"Hattiesburg/Laurel, MS"
PIE,"St. Petersburg, FL"
