ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,passengers,months_reported,flightsmart_score_v2,recommendation_band,data_confidence,gateway_score_100,carrier_score_100,service_consistency_score_100,passenger_evidence_score_100,airport_2025_score_100,chronic_risk_score_100,on_time_departure_pct,on_time_arrival_pct,gateway_cancellation_pct,carrier_cancellation_pct,rank_2025,on_time_pct_2025,reason_en,reason_ja
HNL,"Honolulu, HI",HND,"Tokyo, Japan",AS,Alaska Airlines Inc.,68492,5,89.7,EXCELLENT,HIGH,81.4,81.7,100.0,100.0,,100.0,80.54,81.47,1.26,1.24,,,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, strong recent U.S. gateway performance.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、米国出発空港の良好な直近運航実績。
LAX,"Los Angeles, CA",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,55001,5,88.2,EXCELLENT,HIGH,79.2,,100.0,97.2,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, strong recent U.S. gateway performance. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、米国出発空港の良好な直近運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
HNL,"Honolulu, HI",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,52599,4,85.1,STRONG,MEDIUM,81.4,,80.0,94.5,,100.0,80.54,,1.26,,,,"Supported by strong passenger-volume evidence, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：十分な旅客数に基づく運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
HNL,"Honolulu, HI",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,33234,5,84.9,STRONG,HIGH,81.4,,100.0,66.8,,100.0,80.54,,1.26,,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
LAX,"Los Angeles, CA",HND,"Tokyo, Japan",UA,United Air Lines Inc.,43198,5,84.7,STRONG,VERY_HIGH,79.2,81.7,100.0,82.6,77.2,89.8,79.65,81.47,1.15,1.24,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
IAD,"Washington, DC",HND,"Tokyo, Japan",UA,United Air Lines Inc.,31372,5,84.3,STRONG,VERY_HIGH,87.9,81.7,100.0,63.3,71.1,100.0,83.5,81.47,1.82,1.24,8.0,79.22,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
SEA,"Seattle, WA",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,39214,5,83.3,STRONG,VERY_HIGH,81.0,80.9,100.0,76.7,64.8,95.9,80.18,82.15,1.08,2.3,13.0,77.95,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
LAX,"Los Angeles, CA",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,36569,5,83.0,STRONG,VERY_HIGH,79.2,80.9,100.0,72.5,77.2,89.8,79.65,82.15,1.15,2.3,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
LAX,"Los Angeles, CA",HND,"Tokyo, Japan",AA,American Airlines Inc.,74404,5,82.3,STRONG,VERY_HIGH,79.2,56.9,100.0,100.0,77.2,89.8,79.65,76.73,1.15,3.0,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, strong recent U.S. gateway performance.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、米国出発空港の良好な直近運航実績。
IAD,"Washington, DC",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,24795,5,82.3,STRONG,HIGH,87.9,,100.0,49.1,71.1,100.0,83.5,,1.82,,8.0,79.22,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
LAX,"Los Angeles, CA",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,32355,5,82.2,STRONG,HIGH,79.2,,100.0,65.1,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
HNL,"Honolulu, HI",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,25079,5,81.2,STRONG,HIGH,81.4,80.9,100.0,49.7,,100.0,80.54,82.15,1.26,2.3,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
MSP,"Minneapolis, MN",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,31700,5,81.0,STRONG,VERY_HIGH,76.1,80.9,100.0,63.9,75.8,96.4,79.74,82.15,1.96,2.3,3.0,80.16,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
SEA,"Seattle, WA",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,28192,5,80.1,STRONG,HIGH,81.0,,100.0,56.8,64.8,95.9,80.18,,1.08,,13.0,77.95,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
ATL,"Atlanta, GA",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,37082,5,79.1,GOOD,VERY_HIGH,66.9,80.9,100.0,73.4,73.2,90.7,77.32,82.15,2.41,2.3,4.0,79.64,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
IAH,"Houston, TX",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,28902,5,78.9,GOOD,HIGH,75.8,,100.0,58.3,69.2,94.7,79.18,,1.62,,11.0,78.85,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
JFK,"New York, NY",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,58116,5,78.6,GOOD,HIGH,60.3,,100.0,100.0,52.2,91.1,76.93,,3.72,,17.0,75.43,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
JFK,"New York, NY",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,55005,5,78.0,GOOD,HIGH,60.3,,100.0,97.2,52.2,91.1,76.93,,3.72,,17.0,75.43,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SFO,"San Francisco, CA",HND,"Tokyo, Japan",UA,United Air Lines Inc.,36918,5,76.3,GOOD,VERY_HIGH,67.9,81.7,100.0,73.1,50.2,72.4,75.95,81.47,1.2,1.24,19.0,75.05,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
DTW,"Detroit, MI",HND,"Tokyo, Japan",DL,Delta Air Lines Inc.,34694,5,75.8,GOOD,VERY_HIGH,61.0,80.9,100.0,69.3,72.6,72.0,75.51,82.15,2.52,2.3,5.0,79.52,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
EWR,"Newark, NJ",HND,"Tokyo, Japan",UA,United Air Lines Inc.,35051,5,74.5,GOOD,VERY_HIGH,69.0,81.7,100.0,70.0,25.0,89.6,79.54,81.47,3.52,1.24,29.0,70.0,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
SFO,"San Francisco, CA",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,28328,5,72.0,GOOD,HIGH,67.9,,100.0,57.1,50.2,72.4,75.95,,1.2,,19.0,75.05,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
GUM,"Guam, TT",HND,"Tokyo, Japan",UA,United Air Lines Inc.,18223,5,70.9,FAIR,HIGH,67.9,81.7,100.0,30.5,,50.0,79.8,81.47,3.97,1.24,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
JFK,"New York, NY",HND,"Tokyo, Japan",AA,American Airlines Inc.,34465,5,69.6,FAIR,VERY_HIGH,60.3,56.9,100.0,68.9,52.2,91.1,76.93,76.73,3.72,3.0,17.0,75.43,"Supported by consistent scheduled service across all five reported months, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
ORD,"Chicago, IL",HND,"Tokyo, Japan",UA,United Air Lines Inc.,41454,5,69.5,FAIR,VERY_HIGH,46.2,81.7,100.0,80.1,39.8,66.0,71.3,81.47,3.04,1.24,25.0,72.95,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
SFO,"San Francisco, CA",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,23055,4,64.6,FAIR,HIGH,67.9,,80.0,44.7,50.2,72.4,75.95,,1.2,,19.0,75.05,"Supported by available historical route and airport evidence. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：利用可能な過去の路線・空港実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
DFW,"Dallas/Fort Worth, TX",HND,"Tokyo, Japan",AA,American Airlines Inc.,36319,5,62.8,LIMITED,VERY_HIGH,40.4,56.9,100.0,72.1,38.8,91.4,70.23,76.73,3.66,3.0,26.0,72.75,"Supported by consistent scheduled service across all five reported months, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
ORD,"Chicago, IL",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,27082,5,61.6,LIMITED,HIGH,46.2,,100.0,54.4,39.8,66.0,71.3,,3.04,,25.0,72.95,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
ORD,"Chicago, IL",HND,"Tokyo, Japan",NH,All Nippon Airways Co.,26443,5,61.4,LIMITED,HIGH,46.2,,100.0,52.9,39.8,66.0,71.3,,3.04,,25.0,72.95,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
DFW,"Dallas/Fort Worth, TX",HND,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,19648,3,47.3,LIMITED,HIGH,40.4,,60.0,35.0,38.8,91.4,70.23,,3.66,,26.0,72.75,"Supported by lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
HNL,"Honolulu, HI",KIX,"Osaka, Japan",AS,Alaska Airlines Inc.,33135,5,84.2,STRONG,HIGH,81.4,81.7,100.0,66.6,,100.0,80.54,81.47,1.26,1.24,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
HNL,"Honolulu, HI",KIX,"Osaka, Japan",JL,Japan Air Lines Co. Ltd.,24232,5,80.8,STRONG,HIGH,81.4,,100.0,47.7,,100.0,80.54,,1.26,,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
LAX,"Los Angeles, CA",KIX,"Osaka, Japan",JL,Japan Air Lines Co. Ltd.,23543,5,78.6,GOOD,HIGH,79.2,,100.0,45.9,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SFO,"San Francisco, CA",KIX,"Osaka, Japan",UA,United Air Lines Inc.,32112,5,75.0,GOOD,VERY_HIGH,67.9,81.7,100.0,64.7,50.2,72.4,75.95,81.47,1.2,1.24,19.0,75.05,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
GUM,"Guam, TT",KIX,"Osaka, Japan",UA,United Air Lines Inc.,18438,5,71.0,FAIR,HIGH,67.9,81.7,100.0,31.2,,50.0,79.8,81.47,3.97,1.24,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
HNL,"Honolulu, HI",NGO,"Nagoya, Japan",JL,Japan Air Lines Co. Ltd.,18742,5,77.5,GOOD,HIGH,81.4,,100.0,32.2,,100.0,80.54,,1.26,,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
GUM,"Guam, TT",NGO,"Nagoya, Japan",UA,United Air Lines Inc.,10981,5,65.8,FAIR,HIGH,67.9,81.7,100.0,0.0,,50.0,79.8,81.47,3.97,1.24,,,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
HNL,"Honolulu, HI",NRT,"Tokyo, Japan",NH,All Nippon Airways Co.,121177,5,92.0,EXCELLENT,HIGH,81.4,,100.0,100.0,,100.0,80.54,,1.26,,,,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, strong recent U.S. gateway performance. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、米国出発空港の良好な直近運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
LAX,"Los Angeles, CA",NRT,"Tokyo, Japan",ZG,ZIPAIR Tokyo Inc.,39027,5,84.3,STRONG,HIGH,79.2,,100.0,76.5,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SEA,"Seattle, WA",NRT,"Tokyo, Japan",AS,Alaska Airlines Inc.,34752,5,82.3,STRONG,VERY_HIGH,81.0,81.7,100.0,69.4,64.8,95.9,80.18,81.47,1.08,1.24,13.0,77.95,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
